rank,timestamp,seconds,count,segment
1,2:51:00,10260,643,Just Chatting
2,2:05:00,7500,603,Just Chatting
3,2:40:00,9600,597,Just Chatting
4,1:44:00,6240,591,Just Chatting
5,2:06:00,7560,587,Just Chatting
6,3:59:00,14340,586,Just Chatting
7,3:04:00,11040,585,Just Chatting
8,2:41:00,9660,581,Just Chatting
9,3:27:00,12420,570,Just Chatting
10,2:39:00,9540,569,Just Chatting
11,0:24:00,1440,564,Just Chatting
12,1:45:00,6300,562,Just Chatting
13,4:00:00,14400,555,Just Chatting
14,0:29:00,1740,552,Just Chatting
15,2:38:00,9480,552,Just Chatting
16,1:46:00,6360,551,Just Chatting
17,4:39:00,16740,551,Just Chatting
18,3:15:00,11700,545,Just Chatting
19,2:35:00,9300,539,Just Chatting
20,2:32:00,9120,534,Just Chatting
21,3:43:00,13380,531,Just Chatting
22,3:14:00,11640,526,Just Chatting
23,3:45:00,13500,525,Just Chatting
24,2:08:00,7680,524,Just Chatting
25,4:01:00,14460,524,Just Chatting
26,3:26:00,12360,514,Just Chatting
27,3:49:00,13740,514,Just Chatting
28,2:55:00,10500,512,Just Chatting
29,4:02:00,14520,509,Just Chatting
30,2:07:00,7620,507,Just Chatting
31,3:44:00,13440,501,Just Chatting
32,0:32:00,1920,498,Just Chatting
33,1:41:00,6060,498,Just Chatting
34,1:56:00,6960,493,Just Chatting
35,4:42:00,16920,492,Just Chatting
36,3:34:00,12840,491,Just Chatting
37,4:31:00,16260,490,Just Chatting
38,2:50:00,10200,487,Just Chatting
39,2:09:00,7740,484,Just Chatting
40,4:21:00,15660,483,Just Chatting
41,4:40:00,16800,479,Just Chatting
42,2:36:00,9360,473,Just Chatting
43,4:07:00,14820,473,Just Chatting
44,3:46:00,13560,472,Just Chatting
45,0:38:00,2280,471,Just Chatting
46,1:24:00,5040,470,Just Chatting
47,2:33:00,9180,470,Just Chatting
48,4:33:00,16380,466,Just Chatting
49,4:09:00,14940,464,Just Chatting
50,2:46:00,9960,460,Just Chatting
