rank,timestamp,seconds,count,segment
1,0:01:00,60,475,Just Chatting
2,0:00:00,0,408,Just Chatting
3,0:09:00,540,218,Just Chatting
4,0:02:00,120,207,Just Chatting
5,0:03:00,180,188,Just Chatting
6,0:10:00,600,171,Just Chatting
7,0:08:00,480,161,Just Chatting
8,0:05:00,300,159,Just Chatting
9,0:04:00,240,149,Just Chatting
10,0:07:00,420,143,Just Chatting
11,0:06:00,360,86,Just Chatting
12,0:11:00,660,61,Just Chatting
