rank,timestamp,seconds,count,segment
1,0:01:00,60,658,Just Chatting
2,0:02:00,120,619,Just Chatting
3,3:29:00,12540,605,Just Chatting
4,2:52:00,10320,591,Just Chatting
5,5:01:00,18060,590,Just Chatting
6,2:10:00,7800,587,Just Chatting
7,2:44:00,9840,581,Just Chatting
8,2:09:00,7740,580,Just Chatting
9,1:31:00,5460,568,Just Chatting
10,3:16:00,11760,563,Just Chatting
11,2:34:00,9240,560,Just Chatting
12,3:21:00,12060,557,Just Chatting
13,3:35:00,12900,546,Just Chatting
14,2:29:00,8940,544,Just Chatting
15,2:05:00,7500,543,Just Chatting
