rank,timestamp,seconds,count,segment
1,2:57:00,10620,635,Just Chatting
2,2:01:00,7260,601,Just Chatting
3,2:58:00,10680,592,Just Chatting
4,1:34:00,5640,579,Just Chatting
5,1:33:00,5580,563,Just Chatting
6,2:13:00,7980,561,Just Chatting
7,2:55:00,10500,553,Just Chatting
8,3:13:00,11580,551,Just Chatting
9,1:58:00,7080,539,Just Chatting
10,2:11:00,7860,514,Just Chatting
11,3:11:00,11460,510,Just Chatting
12,2:04:00,7440,508,Just Chatting
13,2:54:00,10440,507,Just Chatting
14,2:39:00,9540,506,Just Chatting
15,2:59:00,10740,496,Just Chatting
